tx_status,tx_codptcoleta,tx_localizacao,dt_atualizacao,globalid,objectid,nomePraia,tipo
Própria,AD000,Centro da praia,2015/09/14 03:00:00+00,{CD5C7421-5E5B-41E5-B9F4-2DD9F19B723A},158,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/09/16 03:00:00+00,{F47B0306-6A02-4AB2-AECC-B244D180C068},159,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/09/21 03:00:00+00,{8F9B5F6D-C421-4EA8-BE8B-52E79EF2126F},160,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/09/23 03:00:00+00,{27B34262-22A3-45BB-B39C-2F0BE32E8601},161,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/09/28 03:00:00+00,{D8F65E8B-1665-46BE-8344-D9E349E041E1},162,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/10/01 03:00:00+00,{F446DC72-E0BE-465D-86AB-858CC312AF08},163,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/10/08 03:00:00+00,{61A3A027-CC33-41BD-9510-923915254C5D},164,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/10/13 03:00:00+00,{DEFF33C0-FC47-4050-8593-EC713BFAC2DB},165,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/10/15 03:00:00+00,{86FB897E-E789-40B4-9260-07138C8A82F0},166,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2015/10/19 03:00:00+00,{206CF87D-DE52-43A6-971C-7A5497661054},167,Praia da Fortaleza,Baía de Guanabara
